iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
31,0.034901125,2.013123123,1239,0.502036420214418,0.5248918935538921,0.0024391350067832773,0.01364321787543743,0.0030079507564623187,-11.387458,-11.541477,-11.788409,false,,0.6997079640769952,0.6664637564815625,0.31011095823556295,0.9663122970766508,0.9620813494148401,0.04577602051982835,0.2299248994583663
32,0.034662458,2.0477855810000003,1239,0.5028692292010086,0.5285246180700424,0.00289926486646086,0.014388590444138094,0.003452195120709267,-11.387001,-11.542593,-11.7872715,false,,0.6996496835741289,0.6642700527421194,0.310111006232806,0.9673129588347847,0.9593072134804638,0.04722424357786741,0.24110893906556863
33,0.035143791,2.082929372,1239,0.5037502291437804,0.5324474875308002,0.0033225313355105257,0.015140992207905879,0.0038676998385833716,-11.386526,-11.543785,-11.786213,false,,0.6995884953453181,0.6621258408245032,0.31011099305612655,0.9683104814329438,0.9563092940895506,0.04873553808800665,0.252345873310499
34,0.034779334,2.117708706,1239,0.5046804213360709,0.5366736134800761,0.003706617880564478,0.01589163606441557,0.004244674980226515,-11.386033,-11.545041,-11.785238,false,,0.6995258350939149,0.6600482580172936,0.3101109408098648,0.9692937905189224,0.9530806551727482,0.050305879195135295,0.2636117093599396
35,0.034969667,2.152678373,1239,0.5056609805402301,0.5412170877271281,0.004048808993436959,0.016632171075825708,0.004572320293398602,-11.385517,-11.546343,-11.784354,false,,0.6994630438849347,0.6580534528297984,0.3101109526191293,0.9702526742434475,0.949616981319322,0.05192937309192604,0.2748838834613358
36,0.034829375,2.1875077480000003,1239,0.506693965370076,0.5460943598937541,0.004347017663649977,0.01735573900713827,0.0048389915923868765,-11.38498,-11.547671,-11.783578,false,,0.6994018051216888,0.6561566647616937,0.31011096465084226,0.9711780172288023,0.9459166822239637,0.05359827903101003,0.2861423379792949
37,0.034774875,2.2222826230000003,1239,0.5077815871438932,0.5513246333948503,0.004599491917464338,0.01805831140804448,0.005032668747599223,-11.384422,-11.549005,-11.782915,false,,0.699343634003028,0.6543716205534381,0.31011095281352846,0.9720617765527337,0.9419801147685518,0.05530280895177123,0.2973707801560354
38,0.03473325,2.2570158730000003,1239,0.508926563531654,0.5569325236377028,0.004804108712844313,0.018738067935502478,0.005140577324680873,-11.383836,-11.550322,-11.782387,false,,0.6992900167438915,0.6527107528475218,0.3101109683883182,0.9728971030703699,0.9378085333437236,0.05703121716078219,0.3085581501804894
39,0.034760959,2.2917768320000005,1239,0.5101317277361472,0.5629497850365855,0.004960084660044051,0.019398673721158777,0.0051507400496610956,-11.38322,-11.551592,-11.782003,false,,0.6992427592895317,0.6511859398000586,0.3101109694647467,0.9736783603444986,0.933402679214696,0.058770189860755585,0.3196999668962556
40,0.034585875,2.3263627070000004,1239,0.5113989359828578,0.5694172419668627,0.005066294434519225,0.02004694958009179,0.0050496198458684916,-11.382569,-11.552799,-11.781791,false,,0.6992032554930633,0.6498084658042357,0.31011101552304304,0.974401059981168,0.9287608222476683,0.06050442356481855,0.3307991215060898
